state,population,state_id,country
Baden-Wuerttemberg,11069533,BW,Germany
Bayern,13076721,BY,Germany
Berlin,3644826,BE,Germany
Brandenburg,2511917,BB,Germany
Bremen,682986,HB,Germany
Hamburg,1841179,HH,Germany
Hessen,6265809,HE,Germany
Mecklenburg-Vorpommern,1609675,MV,Germany
Niedersachsen,7982448,NI,Germany
Nordrhein-Westfalen,17932651,NW,Germany
Rheinland-Pfalz,4084844,RP,Germany
Saarland,990509,SL,Germany
Sachsen,4077937,SN,Germany
Sachsen-Anhalt,2208321,ST,Germany
Schleswig-Holstein,2896712,SH,Germany
Thueringen,2143145,TH,Germany
